"Unnamed: 0","annotation_id","annotator","condition","created_at","date","drugName","id","lead_time","rating","review","sentiment","updated_at","usefulCount"
29980,23,"1","Seizure Prevention","2024-06-11T18:56:34.298468Z","June 22, 2016","Klonopin",103,2.403,1.0,"""This medicine made me confused, slur my words, exhausted. I was basically living in a fog for over five years. No amount of sleep helped, I needed to take a nap every day and would still be tired when I woke up. I had difficulty thinking, repeated sentences, had anxiety attacks. This medication is only suppose to be given for a maximum of 2 weeks. It&#039;s highly addictive and the user develops a high tolerance. Long-term usage can result in brain damage and benzos are the most overly prescribed drug in the world. Withdrawal was horrible, but worth it! I got my life back after getting off of it and I don&#039;t have anxiety or seizures, changed my lifestyle, diet and exercise.""","low","2024-06-11T18:56:34.298505Z",22
222497,24,"1","Birth Control","2024-06-11T18:56:42.474387Z","June 26, 2017","Kyleena",104,2.139,8.0,"""I can&#039;t speak for long term however I just had the Kyleena inserted today. I took 600mg of tylenol before my appointment which helped a lot. The insertion didn&#039;t hurt as much as these reviews led me to believe. It was just uncomfortable and a little crampy but not bad at all. I&#039;ve had it placed for about an hour and I just have minor cramping, I will update after I&#039;ve had it some time longer. I would recommend this birth control method.""","high","2024-06-11T18:56:42.474412Z",1
191861,25,"1","ADHD","2024-06-11T18:56:46.172812Z","February 12, 2010","Lisdexamfetamine",105,2.539,9.0,"""As a 44 year old male, who recently went for treatment of this problem.  I went for almost 43 with always knowing that something was missing. Being a over achiever I made every attempt to complete everything but never really completed anything. This drug has changed that. It allows me to focus on the task that I have in front of me and complete it. Which has been a breath of fresh air for my job, my marriage and my kids.""","high","2024-06-11T18:56:46.172852Z",316
103633,26,"1","Underactive Thyroid","2024-06-11T18:56:49.220114Z","May 30, 2011","Synthroid",106,1.822,10.0,"""I have been taking Synthroid for almost two years. My doctor told me that I might not be able to conceive but I am 15 weeks pregnant. My current doctor told me to take this medicine religiously because this is keeping me pregnant. ""","high","2024-06-11T18:56:49.220148Z",46
150783,27,"1","Urinary Tract Infection","2024-06-11T18:56:56.280836Z","April 12, 2013","Sulfamethoxazole / trimethoprim",107,2.082,7.0,"""Prescribed Bactrim for a urinary tract infection. On day 4 of medication and have been experiencing diarrhea since day 2. Severe nausea and no appetite. Terrible migraine and cannot sleep.""","medium","2024-06-11T18:56:56.280858Z",68
70253,28,"1","Gastroenteritis","2024-06-11T18:57:04.008194Z","January 16, 2017","Zofran",108,1.712,10.0,"""I sufffer from ulcers &amp; get acid indigestion all the time. Of course with that I experience nausea daily..... when it gets too intense I take a 4 mg zofran and within 20-30 minutes it subsides. I thank God this medicine was created!! In the beginning I would get constipated for about 24 hours after taking a pill but don&#039;t have that anymore. I am thankful for this medicine bc I HATE nausea/vomiting.""","high","2024-06-11T18:57:04.008218Z",8
154674,29,"1","Bacterial Infection","2024-06-11T18:57:13.159978Z","August 7, 2017","Metronidazole",109,1.982,5.0,"""Literally I feel like the this is the worst medication I&#039;ve ever been on. Surgeon put me on this for an oral abscess.... been dying for like 5 days and two more to go. Can&#039;t sleep but I&#039;m so tired eat, look at light, worst headache ever. Stomach hurts but this headache makes me forget about that. All in all, I feel horrible.""","medium","2024-06-11T18:57:13.160001Z",4
95123,30,"1","ADHD","2024-06-11T18:57:16.610287Z","March 6, 2017","Guanfacine",110,2.077,5.0,"""My son has ADHD and is taking intuniv 3 mg, I find with this drug he is so sleepy all he wants to do is sleep, it&#039;s supposed to help his concentration but it doesn&#039;t, he&#039;s too tired. It also makes him angry and he&#039;s in a bad mood all the time, I stopped giving it to him for a few days to see if it would make a difference in his mood and it did he was so much happier, I don&#039;t know what to do whether to keep him on it or stop it. The doctor is adamant that it&#039;s not the drug it&#039;s behaviour but I know it is the drug. Anyone else have this problem....""","medium","2024-06-11T18:57:16.610324Z",58
89283,31,"1","Anxiety and Stress","2024-06-11T18:57:28.070711Z","April 26, 2015","Celexa",111,1.832,8.0,"""Celexa helped me immensely with my social anxiety. It completely changed my personality for the better. I finally felt confident and stopped having frequent anxiety and panic attacks. 
     The only downside to taking this drug was that it was a bit too good at reducing my anxiety. I gained a total of 80 pounds in the first two years of taking it. I used to be obsessed with my weight, weighing myself multiple times a day and having anxiety attacks over it.  Celexa took away my insecurities, but at a major cost to my physical health. 
     I was on Celexa for 7 years and only decided to try something else because I was having difficulty becoming motivated to lose weight, and found that it was not helping me enough with depression.""","high","2024-06-11T18:57:28.070734Z",54
141043,32,"1","Generalized Anxiety Disorde","2024-06-11T18:57:36.658586Z","October 12, 2015","Escitalopram",112,1.676,10.0,"""I had severe anxiety and panic attacks daily for 20 years. It literally controlled my life and ruined my days for me. I tried paxil and zoloft and hated both and felt worse on zoloft than I did with out it. At 28 years old after struggling for so many years I finally decided to try something new and was prescribed Lexipro. It has changed my life. I feel like a normal person finally and can go out and do things on my own with out fear and anxiety attacks! I highly recommend this med.""","high","2024-06-11T18:57:36.658610Z",67
182648,33,"1","ibromyalgia","2024-06-11T18:57:39.889022Z","November 1, 2017","Cymbalta",113,2.092,10.0,"""I have taken this medication for about 2 years now and it has helped me tremendously. Yes the first two weeks were hard due to nausea and diarrhea however because it controlled the pain I stayed with it. I weaned myself off at one point to make sure whether or not I still needed it but within a week of being completely off of it all the pain and muscle weakness came back so I went back on it (no side effects this time) and the pain went away so it works for me. However the Dr. said that I was his only patient who had the amount of relief I experienced with the lowest dose.  I also have Lupus (SLE) so it helps with the joint and muscle pain there too!! I say give it a try as I experienced the pain relief almost immediate""","high","2024-06-11T18:57:39.889045Z",15
34125,34,"1","Pain","2024-06-11T18:57:51.607995Z","August 7, 2009","Tramadol",114,1.583,9.0,"""I take 1 to 2, 50mg tablets of tramadol a day (a very small dose) for a pulled nerve in my brachial plexis. I have been on it nearly a year. My prescription calls for me to take 1 to 2 tablets every 4 hours or as needed. I am able to get by on just 1 or 2 a day. I find tramadol not only relieves the dull pain in my neck and the other short-circuit issues one faces with a pulled nerve, but it also lightens my load, so to speak. In other words, I feel less anxious and overwhelmed when I&#039;m on it, but it&#039;s all very subtle. I don&#039;t feel like I&#039;m drugged out. I take a VERY small dose each day.""","high","2024-06-11T18:57:51.608021Z",30
211116,35,"1","Muscle Spasm","2024-06-11T18:57:54.805083Z","April 1, 2008","Carisoprodol",115,1.773,9.0,"""I take Carisoprodol.  It helps a good deal with my back pain.  I also take it with Acetaminophen w/Codeine #3 which also helps a good deal.""","high","2024-06-11T18:57:54.805108Z",11
100299,36,"1","Birth Control","2024-06-11T18:57:57.424292Z","February 25, 2015","Desogestrel / ethinyl estradiol",116,1.669,10.0,"""I have taken Apri for about ten years now.  The pill has helped with my acne, migraines, period regularity, and cramping.  I have not had any side effects.  No depression, weight gain, loss of sex drive, or any other negative side effects.  I also have not gotten pregnant, so the pill is doing its job!""","high","2024-06-11T18:57:57.424371Z",12
226811,37,"1","Birth Control","2024-06-11T18:58:00.845029Z","February 10, 2015","Etonogestrel",117,2.371,10.0,"""I have been on this for about 2 years, I barely get any periods mostly just spotting, no weight gain, you don&#039;t have to think about it but every other three years, and it just goes in your arm. I think it&#039;s the best birth control out there for now. I think it is perfect for me but everyone&#039;s body will react differently.""","high","2024-06-11T18:58:00.845055Z",52
146975,38,"1","Anxiety","2024-06-11T18:58:13.317649Z","February 18, 2016","Alprazolam",118,3.578,9.0,"""I grew up very &quot;shy&quot;, quiet and fearful into an adult who now chronically suffers from social/generalized anxiety, depression and OCD. As a teen into my late 20s, I was always prescribed some sort of anti-depressant, which felt like they were only doing half the job, but my anxiety and constant feeling of &quot;tightly wound&quot; was going untreated and becoming more severe. Now in my early 30s, a doc at the VA prescribed alprazolam at a daily dose up to 1-1.5mg to help with social anxiety. When I take this, I can only describe it as &quot;I feel like a normal person, this must be how everyone without social anxiety feels&quot;. It &quot;takes the edge off&quot;, but won&#039;t completely take the &quot;edge&quot; away, but it&#039;s a life changer in comparison to living without it.""","high","2024-06-11T18:58:13.317673Z",8
118833,39,"1","Birth Control","2024-06-11T18:58:16.579374Z","August 9, 2017","Drospirenone / ethinyl estradiol",119,2.059,1.0,"""I was on this medication for one month and have never felt worse in my entire life. Before taking this pill I was an energetic and positive person. Now I am exhausted all the time and hit a wall at 4:00 every day. My confidence has plummeted and I am experiencing extreme mood swings/anxiety/depressive symptoms. I have never experienced anxiety prior to taking this birth control and I have had multiple intense panic attacks within the past month. Other side effects have been increased heart rate, tight chest/trouble breathing, &amp; chronic headaches. I was put on yaz for my acne and it did help in some sense, but it is not worth feeling like crap 24/7.""","low","2024-06-11T18:58:16.579398Z",11
175394,40,"1","Nausea/Vomiting","2024-06-11T18:58:19.652268Z","November 30, 2017","Scopolamine",120,2.223,9.0,"""Patch used for second general anesthesia experience since I vomited after the first time.  I know they also switched me from a gas/IV combo to pure IV sedation, so although I did not vomit this time (yay!) I don&#039;t know if I can attribute it to the patch or to the sedation change, but probably both.

Please be aware these patches are NOT meant for long term use- they will have withdrawal effects! If you rebound you will have the very effects you were trying to prevent in the first place.  For my purpose, after surgery, it&#039;s worked great.  I wouldn&#039;t wear them for weeks at a time.""","high","2024-06-11T18:58:19.652291Z",0
166403,41,"1","Emergency Contraception","2024-06-11T18:58:28.535159Z","November 8, 2016","Levonorgestrel",121,1.566,10.0,"""My boyfriend &amp; I accidentally got too intense on one occasion, &amp; even though he didn&#039;t penetrate me all the way, &amp; we didn&#039;t mess around long enough for him to cum inside of me, we decided to take Plan B after talking about it later on since he did cum about 30 minutes beforehand &amp; we weren&#039;t sure if any remnants of his sperm would make their way inside of me. I took the pill exactly 24 hours after the incident &amp; experienced no side effects whatsoever. I have roughly a 32-35 day cycle, &amp; the day our incident happened was 4-5 days after my period had ended. While on the pill I experienced dryness in my cervix, which later became light brown spotting, &amp; then dark, sticky brown blood which turned into my period! You will be FINE! I promise!!""","high","2024-06-11T18:58:28.535182Z",9
100673,42,"1","Polycystic Ovary Syndrome","2024-06-11T18:58:31.493420Z","October 21, 2009","Desogestrel / ethinyl estradiol",122,1.951,9.0,"""I have been on it for 3 months now. No breakthrough bleeding at all. Short light period. Have had a few more headaches but nothing Advil won&#039;t take care of. Great results with this pill. A lot less moody than with other pills.""","high","2024-06-11T18:58:31.493443Z",16
167525,43,"1","Emergency Contraception","2024-06-11T18:58:34.441904Z","February 18, 2016","Levonorgestrel",123,1.871,10.0,"""Wow  this Pill is like a second opportunity after your stuff up !! So I Had sex on February 4 around 9:45am , he finished inside me &amp; I flipped out I was a hot mess , I got the emergency contraceptive like an hour an half later , best take b4 72 hours the earlier the better . So I&#039;m not going to tell you not to be nervous ok , shit happens .  I was nervous very emotional . I Didn&#039;t know when we&#039;re my ovulation days I don&#039;t keep track . Made me even more nervous. I prayed and just relaxed , less stress the better . For the first week I just got minor cramps , second day after I took it I was very nauseous. Almost hitting the second week I was breaking out and my cramps were more noticeable . Bam exactly a day b4 the second week  ! PERIOD !""","high","2024-06-11T18:58:34.441928Z",7
67374,44,"1","Amenorrhea","2024-06-11T18:58:40.757402Z","July 9, 2016","Provera",124,1.782,8.0,"""I was on birth control for 8 months when my husband and I decided to try and get pregnant. I stopped taking birth control mid March, I started taking prenatal vitamins mid march, and one and a half months later I still never got my period so I decided to go see my obgyn. She did blood work and everything came out normal so she decided to put me on provera once every day for 10 days. Three days after finishing provera I started my period and it lasted 7 days. After I finished my period on June 6th my husband and I were sexually active and  my cycle should&#039;ve started around June 30th but I still haven&#039;t started my period so first thing this morning  I took a pregnancy test and it came out negative. I dont know what&#039;s going on...""","high","2024-06-11T18:58:40.757428Z",10
155736,45,"1","Diverticulitis","2024-06-11T18:58:44.318264Z","September 1, 2012","Metronidazole",125,2.122,2.0,"""After taking 3 pills, I experienced chills, tremors, nausea, vomiting..had to go urgent care. They changed to Clindamycin. Now I am taking Levoquin and Clindamycin. Just have mild diarrhea.""","low","2024-06-11T18:58:44.318288Z",20
146075,46,"1","Opiate Dependence","2024-06-11T18:58:58.143073Z","March 3, 2013","Suboxone",126,1.876,10.0,"""After being on pain management for 7 years, my brain started telling my body I needed higher and higher doses. I maxed out on Fentanyl and had enough of the merry go round. I had crossed from dependency to addiction. After a lot of research, I felt a life in pain would be better then what I was putting myself through. I walked into a detox hospital and started Suboxone. I was stunned when my pain was under control. With incorporating a recovery program, I have been clean for 3 years and take 16mg of Suboxone. I&#039;ve tried lowering my dose, but my pain comes screaming back. I feel absolutely normal and praise the manufacturer for such a great remedy to a complex problem. If you are a Veteran, the VA has a great Suboxone program.""","high","2024-06-11T18:58:58.143095Z",64
227017,47,"1","Birth Control","2024-06-11T18:59:01.195907Z","August 14, 2014","Etonogestrel",127,1.957,9.0,"""I&#039;ve experienced a confusing period but its a lot less than before I got it as well as less cramps. In the beginning I gained a pound or two but realized its only because Implanon made me more hungry so I regulated my eating patterns and now I haven&#039;t gained any weight. Sometimes I might feel pregnant (since some of the symptoms relate) but I&#039;m generally paranoid when it comes to my body. I love my Implanon and I&#039;m greatly satisfied with it. Glad I got it best thing ever.""","high","2024-06-11T18:59:01.195932Z",22
68015,48,"1","Emergency Contraception","2024-06-11T18:59:04.413605Z","February 7, 2016","Plan B",128,1.643,10.0,"""I decided to write this because these reviews helped me to stop worrying. I had unprotected sex with my boyfriend on Saturday January 30th. (A week ago today) He didn&#039;t ejaculate inside me but I realized how risky what we had done was, so the day after, approximately 25 hours after the sex, I bought a generic form of plan B. I experienced very mild cramping, like almost none at all, plenty of discharge, nausea, and bloating. Today I got my period. I have never been so excited to see blood. So I&#039;m just here to say that plan b works. I know this is easier said than done, but don&#039;t stress. It will work. symptoms sucked but worth it.  Hope I could ease your mind""","high","2024-06-11T18:59:04.413628Z",4
144536,49,"1","Birth Control","2024-06-11T18:59:10.611785Z","March 22, 2016","Etonogestrel",129,1.715,1.0,"""This birth control has been placed in my arm for about 2 months and I have on and off bleeding. I also gained lower back pain. And worst of all I am depressed now and always always hungry. I feel pregnant. And I&#039;m not. Its a horrible birth control. I gained 20 lbs. In just about a month and a half""","low","2024-06-11T18:59:10.611808Z",7
179555,50,"1","Acne","2024-06-11T18:59:18.559883Z","May 30, 2017","Adapalene / benzoyl peroxide",130,1.932,10.0,"""Having started on the mini pill about 6 months ago my acne reared its ugly head very badly again, I went to the doctors and was put on antibiotics for a few months, this worked amazingly after a couple of months and I was thrilled. However I started having bad side effects from being on these for too long so stopped the treatment, within about two weeks I was having major break outs again, so depressing!! I went back to the doctors, she prescribed me epiduo. I was initially nervous about this treatment from reading reviews, but the doctor told me to start by only applying the cream a couple of times a week to let my skin get used to it, and to make sure I moisturised. It worked from first use pretty much and I&#039;m so happy!!""","high","2024-06-11T18:59:18.559918Z",5
160736,51,"1","Anxiety","2024-06-11T18:59:26.474901Z","January 15, 2012","Buspirone",131,1.763,6.0,"""It helps me from pulling my hair out but I still have anxiety.""","medium","2024-06-11T18:59:26.474923Z",14
74281,52,"1","Birth Control","2024-06-11T18:59:29.075540Z","November 8, 2010","Ethinyl estradiol / norethindrone",132,1.665,9.0,"""I was on Loestrin for about 2 years. It was the first birth control I had ever been on. I went on it for severe cramps and heavy bleeding. On Loestrin I did not experience any period whatsoever. I was reassured that it was completely healthy and normal, which I believe to be true. I was very satisfied with the pill, except for now that I&#039;m on a new pill to induce my period, I do not get it.""","high","2024-06-11T18:59:29.075562Z",4
